model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,1,100087071,1,10,256,256,0.041666666666666664,0.0019832884427160025,27.026142120361328,0.9273855090141296,11.389766693115234,0.25445133447647095
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,2,100087072,1,10,256,256,0.041666666666666664,0.001969221280887723,27.057056427001953,0.9288492202758789,11.478203773498535,0.24117887020111084
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,3,100087073,1,10,256,256,0.041666666666666664,0.0018924431642517447,27.22977066040039,0.9276366233825684,11.40481185913086,0.23982134461402893
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,4,100087074,1,10,256,256,0.041666666666666664,0.0019458606839179993,27.108882904052734,0.9301769733428955,11.560012817382812,0.24849827587604523
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,5,100087075,1,10,256,256,0.041666666666666664,0.0020035658963024616,26.981964111328125,0.9287095069885254,11.469684600830078,0.24819698929786682
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,6,100087076,1,10,256,256,0.041666666666666664,0.0020148144103586674,26.95764923095703,0.9265508651733398,11.340133666992188,0.24951061606407166
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,7,100087077,1,10,256,256,0.041666666666666664,0.0020092835184186697,26.969587326049805,0.925769031047821,11.294149398803711,0.2404632568359375
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,8,100087078,1,10,256,256,0.041666666666666664,0.002021918073296547,26.942365646362305,0.925879955291748,11.300643920898438,0.24597930908203125
DeepJSCC-f_author_DIV2K,09.png,6a4361c2fc194feb4edaa9f9a4a0620fb9943e460ac7fdf037fb0f6dd6607a7d,9,100087079,1,10,256,256,0.041666666666666664,0.0019660654943436384,27.06402015686035,0.9301039576530457,11.555475234985352,0.2437690794467926
DeepJSCC-f_author_DIV2K,10.png,9dfb70f5867c29ff9ed6313683f19b3d867849e40fbc0c4c54a4a89df341cf23,0,100097070,1,10,256,256,0.041666666666666664,0.0008841792005114257,30.53459930419922,0.9163948893547058,10.777671813964844,0.3311404585838318
